t build_seconds sweep_seconds
349 6.6250000000000001e-06 8.1959000000000006e-05
350 6.3749999999999999e-06 6.0791999999999997e-05
351 5.75e-06 5.3959000000000003e-05
352 5.5829999999999997e-06 4.7666000000000001e-05
353 5.5419999999999996e-06 5.1499999999999998e-05
354 5.8329999999999999e-06 5.0667000000000001e-05
355 5.6250000000000004e-06 5.5458000000000003e-05
356 5.75e-06 5.3542000000000003e-05
357 5.3340000000000001e-06 4.8625000000000003e-05
358 5.417e-06 5.0875000000000003e-05
359 5.3329999999999996e-06 5.4959e-05
360 5.0830000000000003e-06 5.1459000000000003e-05
361 5.1660000000000002e-06 5.4375e-05
362 5.0409999999999997e-06 5.3959000000000003e-05
363 5.0420000000000002e-06 4.9792e-05
364 5.2499999999999997e-06 5.4125000000000001e-05
365 5.1669999999999998e-06 5.4125000000000001e-05
366 5.2920000000000003e-06 5.5875000000000003e-05
367 5.0409999999999997e-06 5.2500000000000002e-05
368 5.3329999999999996e-06 5.1666999999999998e-05
369 5.0000000000000004e-06 5.4625e-05
370 5.3329999999999996e-06 5.4666999999999997e-05
371 5.2920000000000003e-06 5.0083000000000001e-05
372 5.2079999999999999e-06 4.9957999999999998e-05
373 5.7919999999999998e-06 5.0250000000000002e-05
374 4.8330000000000001e-06 5.2083000000000003e-05
375 4.9590000000000003e-06 4.4333999999999999e-05
376 4.9169999999999997e-06 4.9375000000000001e-05
377 4.792e-06 5.5207999999999997e-05
378 5.2089999999999996e-06 5.2290999999999998e-05
379 5.1669999999999998e-06 5.1792000000000002e-05
380 5.0000000000000004e-06 5.3458999999999998e-05
381 5.1669999999999998e-06 5.1582999999999997e-05
382 5.1669999999999998e-06 5.3582999999999998e-05
383 5.4589999999999997e-06 5.5999999999999999e-05
384 5.541e-06 5.6625000000000001e-05
385 5.2920000000000003e-06 5.1041999999999997e-05
386 5.3340000000000001e-06 5.3375000000000003e-05
387 5.3750000000000002e-06 5.2916e-05
388 5.0409999999999997e-06 5.1292000000000003e-05
389 5.3750000000000002e-06 5.2042000000000001e-05
390 5.2920000000000003e-06 5.2624999999999998e-05
391 5.1250000000000001e-06 5.0417000000000002e-05
392 5.2920000000000003e-06 5.3165999999999999e-05
393 5.3340000000000001e-06 5.3625000000000002e-05
394 5.2089999999999996e-06 4.9916000000000001e-05
395 5.3750000000000002e-06 5.5207999999999997e-05
396 5.2920000000000003e-06 5.2957999999999997e-05
397 5.3329999999999996e-06 5.3083e-05
398 5.1250000000000001e-06 5.2292e-05
399 5.3340000000000001e-06 5.1666000000000003e-05
400 5.0000000000000004e-06 4.7375e-05
401 5.0839999999999999e-06 4.2957999999999998e-05
402 5.2089999999999996e-06 4.9874999999999999e-05
403 5.2079999999999999e-06 5.1416999999999999e-05
404 5.4589999999999997e-06 4.9625e-05
405 5.0000000000000004e-06 4.8625000000000003e-05
406 4.916e-06 5.1499999999999998e-05
407 5.0420000000000002e-06 5.3375000000000003e-05
408 4.9590000000000003e-06 5.6459000000000003e-05
409 4.8749999999999999e-06 5.0207999999999998e-05
410 5.4580000000000001e-06 5.0791999999999998e-05
411 4.9590000000000003e-06 5.2624999999999998e-05
412 4.8339999999999998e-06 5.3000000000000001e-05
413 4.8339999999999998e-06 5.0875000000000003e-05
414 4.8330000000000001e-06 4.9249999999999998e-05
415 4.9579999999999998e-06 5.4583000000000002e-05
416 5.2499999999999997e-06 5.1041999999999997e-05
417 5.1250000000000001e-06 5.3208000000000003e-05
418 5.2499999999999997e-06 5.2250000000000003e-05
419 5.2499999999999997e-06 5.3708000000000001e-05
420 5.2089999999999996e-06 5.4041e-05
421 5.3340000000000001e-06 5.2040999999999999e-05
422 5.3329999999999996e-06 5.4333000000000003e-05
423 5.2499999999999997e-06 4.9249999999999998e-05
424 5.2499999999999997e-06 5.2791000000000003e-05
425 5.1669999999999998e-06 5.3083e-05
426 5.1250000000000001e-06 5.1208000000000002e-05
427 5.2909999999999998e-06 5.2750000000000001e-05
428 5.3340000000000001e-06 5.2916e-05
429 4.792e-06 5.8041999999999998e-05
430 5.6670000000000001e-06 5.6625000000000001e-05
431 5.2920000000000003e-06 5.0417000000000002e-05
432 5.3750000000000002e-06 5.4833000000000002e-05
