t build_seconds sweep_seconds
622 4.2919999999999997e-06 4.4125000000000002e-05
623 4.2910000000000001e-06 4.0624999999999998e-05
624 4.2080000000000002e-06 4.3999999999999999e-05
625 4.3329999999999998e-06 4.3582999999999999e-05
626 4.1659999999999996e-06 4.1e-05
627 4.0419999999999996e-06 4.1541000000000001e-05
628 4.1659999999999996e-06 4.1749999999999998e-05
629 4.25e-06 4.1083e-05
630 4.3329999999999998e-06 4.2750000000000002e-05
631 4.3749999999999996e-06 4.2040999999999999e-05
632 4.4170000000000002e-06 4.3582999999999999e-05
633 4.3340000000000003e-06 4.375e-05
634 4.2080000000000002e-06 3.5791999999999999e-05
635 4.2080000000000002e-06 4.4084e-05
636 4.25e-06 4.4458e-05
637 4.4580000000000003e-06 4.4916999999999997e-05
638 4.3749999999999996e-06 4.5000000000000003e-05
639 4.1659999999999996e-06 4.3417000000000001e-05
640 4.2080000000000002e-06 4.2208e-05
641 4.2080000000000002e-06 4.4833000000000003e-05
642 4.0829999999999997e-06 4.2292000000000001e-05
643 4.0409999999999999e-06 4.0374999999999999e-05
644 4.0840000000000002e-06 4.3083000000000001e-05
645 4.1250000000000003e-06 4.2457999999999999e-05
646 4.1670000000000001e-06 3.7833000000000002e-05
647 4.2089999999999999e-06 4.1875000000000001e-05
648 4.2919999999999997e-06 4.1458999999999997e-05
649 4.1250000000000003e-06 4.0667000000000002e-05
650 5.3750000000000002e-06 5.075e-05
651 4.3340000000000003e-06 4.2082999999999997e-05
652 4.2919999999999997e-06 4.2082999999999997e-05
653 4.2919999999999997e-06 4.1832999999999997e-05
654 4.3749999999999996e-06 4.1749999999999998e-05
655 4.2080000000000002e-06 4.4375000000000001e-05
656 4.2919999999999997e-06 4.6708000000000001e-05
657 4.1250000000000003e-06 3.8374999999999998e-05
658 4.2919999999999997e-06 4.0833e-05
659 4.25e-06 4.2667000000000003e-05
660 4.3329999999999998e-06 3.8000000000000002e-05
661 5.2920000000000003e-06 4.2416000000000002e-05
662 4.1670000000000001e-06 4.1041999999999998e-05
663 4.2089999999999999e-06 4.2375e-05
664 4.1659999999999996e-06 4.1083e-05
665 4.0840000000000002e-06 3.9249999999999999e-05
666 4.0829999999999997e-06 4.2082999999999997e-05
667 4.1670000000000001e-06 3.9291e-05
668 4.2089999999999999e-06 4.2040999999999999e-05
669 4.1670000000000001e-06 4.0083000000000002e-05
670 4.2089999999999999e-06 3.9332999999999998e-05
671 4.1670000000000001e-06 4.4708e-05
672 4.2080000000000002e-06 4.3374999999999997e-05
673 4.25e-06 4.1999999999999998e-05
674 4.3749999999999996e-06 3.9708e-05
675 4.1250000000000003e-06 4.2083999999999999e-05
676 4.1670000000000001e-06 4.0584000000000003e-05
677 4.3329999999999998e-06 4.0915999999999999e-05
678 4.3749999999999996e-06 4.1582999999999998e-05
679 4.3749999999999996e-06 3.9833999999999998e-05
680 4.3749999999999996e-06 4.4459000000000002e-05
681 4.3329999999999998e-06 4.4166999999999999e-05
682 4.3749999999999996e-06 4.3250000000000001e-05
683 4.1659999999999996e-06 3.9375000000000002e-05
684 4.1250000000000003e-06 4.3291000000000003e-05
685 4.25e-06 4.5250000000000002e-05
686 4.3749999999999996e-06 4.6709000000000003e-05
687 4.3749999999999996e-06 4.5917000000000001e-05
688 4.1659999999999996e-06 4.3625000000000003e-05
689 4.0840000000000002e-06 4.2125000000000001e-05
690 4.1250000000000003e-06 4.4332999999999997e-05
691 4.2080000000000002e-06 4.0083999999999998e-05
692 4.1670000000000001e-06 4.1499999999999999e-05
693 4.2089999999999999e-06 3.8665999999999999e-05
694 4.1250000000000003e-06 4.0333999999999997e-05
695 4.2919999999999997e-06 4.3250000000000001e-05
696 4.3749999999999996e-06 4.5124999999999999e-05
697 4.25e-06 4.1582999999999998e-05
698 4.25e-06 4.4790999999999999e-05
699 4.459e-06 4.5209e-05
700 4.4159999999999997e-06 4.1375000000000003e-05
701 4.4170000000000002e-06 4.2874999999999999e-05
702 4.3340000000000003e-06 4.1832999999999997e-05
703 4.2089999999999999e-06 4.0540999999999997e-05
704 4.1659999999999996e-06 3.9459000000000003e-05
705 4.2089999999999999e-06 4.1916999999999999e-05
706 4.2910000000000001e-06 3.8541999999999998e-05
707 4.25e-06 3.8291000000000003e-05
708 4.2919999999999997e-06 4.0624999999999998e-05
709 4.4170000000000002e-06 4.1749999999999998e-05
710 4.4159999999999997e-06 4.4166999999999999e-05
711 4.3340000000000003e-06 4.3166e-05
712 4.2910000000000001e-06 4.4209000000000003e-05
713 4.2910000000000001e-06 4.4542000000000001e-05
714 4.5000000000000001e-06 4.0541999999999999e-05
715 4.3329999999999998e-06 4.3625000000000003e-05
716 4.2080000000000002e-06 4.1625000000000002e-05
717 4.3329999999999998e-06 4.4166999999999999e-05
718 4.3329999999999998e-06 4.4459000000000002e-05
719 4.2919999999999997e-06 4.3582999999999999e-05
720 4.2910000000000001e-06 4.0166999999999997e-05
721 4.1670000000000001e-06 3.9625000000000001e-05
722 4.1659999999999996e-06 4.0667000000000002e-05
723 4.2080000000000002e-06 3.9375000000000002e-05
724 4.4159999999999997e-06 4.1124999999999997e-05
725 4.5000000000000001e-06 3.9666000000000003e-05
726 4.3329999999999998e-06 3.8250000000000001e-05
727 4.4580000000000003e-06 4.3458999999999998e-05
728 4.2910000000000001e-06 4.1666999999999999e-05
729 4.2919999999999997e-06 4.1458000000000002e-05
730 4.2080000000000002e-06 3.8832999999999999e-05
731 4.2919999999999997e-06 4.2750000000000002e-05
732 4.25e-06 4.4042000000000003e-05
733 5.2920000000000003e-06 4.4957999999999999e-05
734 4.3329999999999998e-06 4.5500000000000001e-05
735 4.2919999999999997e-06 4.2667000000000003e-05
736 4.2910000000000001e-06 4.4166999999999999e-05
737 5.417e-06 4.8417000000000001e-05
738 4.25e-06 4.5917000000000001e-05
739 4.2919999999999997e-06 4.1916000000000003e-05
740 4.792e-06 3.8250000000000001e-05
741 4.2910000000000001e-06 4.1749999999999998e-05
742 4.4159999999999997e-06 4.3167000000000002e-05
743 4.3749999999999996e-06 5.1249999999999999e-05
744 4.9169999999999997e-06 4.6625000000000002e-05
745 4.2910000000000001e-06 4.7958999999999999e-05
746 4.2919999999999997e-06 4.3791000000000001e-05
747 4.4170000000000002e-06 3.9249999999999999e-05
748 4.4159999999999997e-06 4.3124999999999998e-05
749 4.4170000000000002e-06 4.0833e-05
750 4.25e-06 4.3791999999999997e-05
751 4.3329999999999998e-06 3.7333999999999999e-05
752 3.9999999999999998e-06 3.8457999999999997e-05
753 4.25e-06 4.1499999999999999e-05
754 4.2910000000000001e-06 3.6000000000000001e-05
755 4.25e-06 3.6167000000000001e-05
756 4.2919999999999997e-06 4.3582999999999999e-05
757 4.3749999999999996e-06 3.9833999999999998e-05
758 4.25e-06 4.0541999999999999e-05
759 4.3329999999999998e-06 4.2042000000000002e-05
760 4.25e-06 4.1542000000000003e-05
761 4.1250000000000003e-06 3.8791000000000002e-05
762 4.3340000000000003e-06 4.3333e-05
763 4.2910000000000001e-06 4.2333999999999998e-05
764 4.0829999999999997e-06 3.9125000000000002e-05
765 4.1250000000000003e-06 4.2750000000000002e-05
766 4.25e-06 4.2583999999999998e-05
767 4.1250000000000003e-06 4.1792000000000002e-05
768 4.0829999999999997e-06 4.0750000000000001e-05
769 4.1670000000000001e-06 4.1124999999999997e-05
770 4.1250000000000003e-06 4.1541000000000001e-05
771 4.2910000000000001e-06 4.0917000000000001e-05
772 4.3749999999999996e-06 4.3333e-05
773 4.3329999999999998e-06 4.1332999999999999e-05
774 4.25e-06 4.3875000000000003e-05
775 6.3749999999999999e-06 4.4082999999999998e-05
